App ID,App names,Country,Date,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate,Ad Exchange CPC ($),Ad Exchange delivery rate
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/22/25,15,2,13.33%,0.09,6.14,64,89.06%,0.05,23.44%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/23/25,15,2,13.33%,0.04,2.40,69,92.75%,0.02,21.74%
com.calendar.schedule.taskapp,Calender,Croatia,3/14/25,2,1,50.00%,0.02,10.78,3,100.00%,0.02,66.67%
com.calendar.schedule.taskapp,Calender,Croatia,3/16/25,6,1,16.67%,0.03,5.80,10,100.00%,0.03,60.00%
com.calendar.schedule.taskapp,Calender,Croatia,3/17/25,3,0,0.00%,0.06,19.01,6,100.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Croatia,3/19/25,3,0,0.00%,0.07,24.99,9,100.00%,0.00,33.33%
com.calendar.schedule.taskapp,Calender,Croatia,3/21/25,4,1,25.00%,0.09,22.06,6,100.00%,0.09,66.67%
com.calendar.schedule.taskapp,Calender,Croatia,3/23/25,1,0,0.00%,0.00,0.35,3,100.00%,0.00,33.33%
com.calendar.schedule.taskapp,Calender,Cyprus,3/21/25,1,1,100.00%,0.01,7.59,10,100.00%,0.01,10.00%
com.calendar.schedule.taskapp,Calender,Czechia,3/14/25,21,0,0.00%,0.09,4.34,28,100.00%,0.00,75.00%
com.calendar.schedule.taskapp,Calender,Czechia,3/15/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Czechia,3/19/25,5,3,60.00%,0.10,20.73,7,100.00%,0.03,71.43%
com.calendar.schedule.taskapp,Calender,Czechia,3/21/25,1,0,0.00%,0.00,0.82,2,100.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Democratic Republic of the Congo,3/17/25,4,0,0.00%,0.02,6.11,8,75.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Democratic Republic of the Congo,3/18/25,5,2,40.00%,0.02,4.69,13,84.62%,0.01,38.46%
com.calendar.schedule.taskapp,Calender,Democratic Republic of the Congo,3/19/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Democratic Republic of the Congo,3/21/25,0,0,0.00%,0.00,0.00,2,50.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Democratic Republic of the Congo,3/22/25,1,0,0.00%,0.00,0.66,5,80.00%,0.00,20.00%
com.calendar.schedule.taskapp,Calender,Denmark,3/18/25,23,0,0.00%,0.43,18.65,40,100.00%,0.00,57.50%
com.calendar.schedule.taskapp,Calender,Denmark,3/21/25,1,0,0.00%,0.00,2.38,4,100.00%,0.00,25.00%
com.calendar.schedule.taskapp,Calender,Denmark,3/22/25,5,0,0.00%,0.08,15.74,8,100.00%,0.00,62.50%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/15/25,13,4,30.77%,0.26,20.28,19,100.00%,0.07,68.42%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/18/25,6,1,16.67%,0.25,41.53,14,100.00%,0.25,42.86%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/19/25,9,2,22.22%,0.03,3.19,18,100.00%,0.01,50.00%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/20/25,19,9,47.37%,0.04,2.30,44,100.00%,0.00,43.18%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/21/25,7,1,14.29%,0.02,2.24,21,100.00%,0.02,33.33%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/22/25,34,8,23.53%,0.10,3.06,74,100.00%,0.01,45.95%
com.calendar.schedule.taskapp,Calender,Dominican Republic,3/23/25,26,9,34.62%,0.06,2.42,58,100.00%,0.01,44.83%
com.calendar.schedule.taskapp,Calender,Ecuador,3/15/25,4,1,25.00%,0.00,0.32,13,92.31%,0.00,30.77%
com.calendar.schedule.taskapp,Calender,Ecuador,3/16/25,7,1,14.29%,0.06,8.35,9,100.00%,0.06,77.78%
com.calendar.schedule.taskapp,Calender,Ecuador,3/18/25,25,4,16.00%,0.14,5.76,42,100.00%,0.04,59.52%
com.calendar.schedule.taskapp,Calender,Ecuador,3/19/25,4,1,25.00%,0.02,5.55,8,100.00%,0.02,50.00%
com.calendar.schedule.taskapp,Calender,Ecuador,3/20/25,11,2,18.18%,0.09,8.24,18,100.00%,0.05,61.11%
com.calendar.schedule.taskapp,Calender,Ecuador,3/21/25,8,2,25.00%,0.04,5.07,12,100.00%,0.02,66.67%
com.calendar.schedule.taskapp,Calender,Ecuador,3/22/25,3,0,0.00%,0.02,5.22,5,100.00%,0.00,60.00%
com.calendar.schedule.taskapp,Calender,Ecuador,3/23/25,13,4,30.77%,0.03,2.44,26,100.00%,0.01,50.00%
com.calendar.schedule.taskapp,Calender,Egypt,3/17/25,5,0,0.00%,0.02,4.25,8,100.00%,0.00,62.50%
com.calendar.schedule.taskapp,Calender,Egypt,3/19/25,20,4,20.00%,0.02,1.18,31,96.77%,0.01,64.52%
com.calendar.schedule.taskapp,Calender,El Salvador,3/14/25,12,5,41.67%,0.11,9.09,15,100.00%,0.02,80.00%
com.calendar.schedule.taskapp,Calender,El Salvador,3/21/25,13,7,53.85%,0.10,7.60,25,100.00%,0.01,52.00%
